Year,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Is,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Is (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,United Korea (former),Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,St. Barthélemy,St. Helena,St. Kitts and Nevis,St. Lucia,St. Martin,St. Vincent and the Grenadines,St.-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),North Yemen (former),South Yemen (former),Yemen,Yugoslavia,Zambia,Zimbabwe,Åland,South Sudan,Christian,Coastline,Curaçao,Sint Maarten (Dutch part),St. Martin (French part),Antarctica,"Virgin Islands, British",Hawaiian Trade Zone,U.S. Pacific Islands,Wake Island,Bonaire,Sark,Chinese Taipei,Saint Eustatius,Saba
1960,,,,,1280.384828,,,,,,5251.876754,,,9407.685082,7434.183717,,11926.46097,,254.8250791,3396.945712,,7454.716536,950.4240054,256.9787667,19588.6127,,894.7569722,,237.5222245,1447.843809,,,,122.207837,116.0098612,,469.2004319,9374.882816,,,355.8227575,253.9441747,,1841.080148,105.4589882,,,1188.253526,,324.9031665,617.7375477,,1797.966457,550.6903451,,,,,,11390.66975,,,912.469538,,820.3111139,430.3645317,1448.829523,,,,,,,,1111.127298,7306.041153,7499.89477,,,1826.706515,,,,282.1084448,,3385.660177,,,,,959.1565444,,,,688.8561746,,,751.1958003,,1050.369965,10109.90857,180.9617325,200.6481494,,,,,5824.524407,5847.458177,,7774.710215,,,,261.1191796,,,1153.709962,,,,,,,,132.2258307,608.0254331,,,,13702.912,,,409.1168324,98.63484519,812.6158346,,,,,,373.8768493,,,2455.952465,,,,,,,646.0710542,,,,,139.0810064,8562.936112,,,,,1186.478944,313.9101777,279.5005049,,,,,10695.36321,966.5243215,187.4651214,,1710.511353,425.5577906,662.8561606,1647.251268,691.6812069,,,2368.672136,3767.414748,,,,,224.9636578,,,,,,1324.500088,,,,,,613.6279819,,,,1174.613911,223.3527868,2251.394511,,,,,,2203.729076,,3711.099299,273.7066885,284.7571459,,,,11360.40555,,482.4968806,,,,320.9065099,,176.5698989,,,,3342.312405,,1582.568687,,,,,,,10025.3494,13723.23778,4182.118439,,,,,5437.469231,,,,,,,,,,547.44288,389.015773,,,,,,,,,,,,,,,,,
1961,,,,,1085.414612,,,,,,5448.303627,,,9451.546304,7802.972546,,12558.29581,,262.7656347,3646.65478,,7799.889081,963.1137622,261.6472216,20009.6258,,893.3265411,,246.6840088,1549.414547,,,,125.2266781,98.311239,,464.7532472,9479.824032,,,367.1653474,252.0936939,,1867.609086,77.66230912,,,1214.201104,,282.3016962,652.3448468,,1719.662799,583.0865459,,,,,,12032.9604,,,862.0671954,,809.1023901,437.6067814,1454.729423,,,,,,,,1111.307361,7806.356307,7809.490515,,,2085.026645,,,,282.7155827,,3733.425554,,,,,973.5530309,,,,701.5252493,,,740.4833939,,1094.764186,9906.407934,183.9582104,207.7479244,,,,,6266.688146,6285.223388,,8486.966472,,,,233.445243,,,1180.010131,,,,,,,,132.3792823,608.1567607,,,,14098.6311,,,407.6519958,103.746162,846.5127065,,,,,,419.9330425,,,2496.598061,,,,,,,613.3239655,,,,,139.2022949,8476.022518,,,,,1235.360895,318.8954331,274.1474274,,,,,11276.38808,955.1143718,193.9864663,,1840.06282,444.1645042,691.1713654,1718.651031,706.5513986,,,2479.731321,4055.068808,,,,,208.91206,,,,,,1364.306609,,,,,,615.2538936,,,,1086.293366,223.8331724,2478.23182,,,,,,2217.845838,,4112.064535,277.6427289,278.1638753,,,,11949.42691,,517.7541231,,,,328.0574358,,196.075133,,,,3744.356202,691.4517635,1560.209469,,,,,,,10205.45454,13808.06402,4231.300372,,,,,5403.435893,,,,,,,,,,538.9474435,400.3314489,,,,,,,,,,,,,,,,,
1962,,,,,855.947986,,,,,,5316.578969,,,9351.023272,7960.70727,,13186.10406,,269.5320729,3961.399895,,8173.818456,974.7707239,249.2125313,20410.61269,,922.3160646,,256.7120525,1581.625423,,,,130.8849269,105.3729712,,468.5238567,9967.365638,,,347.3010458,259.9471639,,1915.332698,72.32492731,,,1243.083903,,333.4012713,668.5166302,,1795.492989,567.7902655,,,,,,12616.25178,,,976.1887011,,821.4686779,455.5296802,1577.796759,,,,,,,,1111.981625,7984.657276,8215.264936,,,2226.70799,,,,285.2639975,,3768.161489,,,,,980.9607828,,,,690.4629857,,,757.5058707,,1157.802986,10532.9637,185.538685,206.5496525,,,,,6578.003328,6630.123624,,9157.323309,,,,247.6010858,,,1176.478292,,,,,,,,149.9592656,601.5957155,,,,14116.20888,,,406.9721425,101.9965304,871.7634759,,,,,,411.1976827,,,2531.238029,,,,,,,671.5783913,,,,,139.2724269,8927.992592,,,,,1338.598294,341.5392326,279.3047348,,,,,11500.92865,1120.734575,197.7840234,,1936.782734,464.1003638,682.1858325,1808.999492,716.10745,,,2624.742618,4270.351572,,,,,225.6967041,,,,,,1396.634394,,,,,,597.9334602,,,,1146.797912,230.2751822,2409.277685,,,,,,2289.854448,,4479.949167,280.6527513,290.437345,,,,12389.803,,624.1215625,,,,342.2936643,,201.6926215,,,,3799.696742,712.4839419,1606.04685,,,,,,,10253.5937,14426.75771,4113.191476,,,,,5650.188735,,,,,,,,,,510.1450454,392.9357337,,,,,,,,,,,,,,,,,
1963,,,,,1128.41578,,,,,,4956.216522,,,9749.128563,8237.060529,,13858.51689,,260.9298963,3744.022688,,8465.979625,987.4708188,257.2048648,20153.28493,,959.8083684,,265.0096909,1548.134715,,,,127.2294692,107.8375504,,475.2823344,10290.362,,,338.5146939,250.305059,,1982.230412,77.86736518,,,1241.813008,,341.6803309,624.6798628,,1817.026278,624.8449296,,,,,,12596.99811,,,1006.282338,,828.3676654,484.0453141,1593.710424,,,,,,,,1143.006627,8188.86268,8534.028484,,,2346.713944,,,,288.9737213,,4134.740524,,,,,1045.780232,,,,589.8598491,,,759.0883892,,1220.617782,11411.19546,192.6580747,196.9290848,,,,,7018.341616,6951.15769,,9832.730383,,,,260.8877882,,,1255.237129,,,,,,,,162.8366572,600.3673639,,,,14450.75305,,,393.4847439,98.18027624,905.7198234,,,,,,391.799003,,,2652.438985,,,,,,,685.3561316,,,,,139.2591992,9127.678872,,,,,1428.324083,362.8285596,296.7226508,,,,,11846.33136,1142.951196,209.6807192,,2039.608169,474.0505374,690.0390576,1822.618041,741.9421791,,,2767.720036,4612.412199,,,,,197.5031824,,,,,,1294.198441,,,,,,592.4252434,,,,1231.348212,230.4010672,2558.07049,,,,,,2396.80336,,4866.994061,283.9367771,275.5463548,,,,12976.57219,,551.8075433,,,,358.5940036,,209.4630428,,,,3975.402189,782.7169063,1708.960321,,,,,,,10579.77809,14846.32706,4071.375675,,,,,5660.020136,,,,,,,,,,511.2092077,403.9079958,,,,,,,,,,,,,,,,,
1964,,,,,1170.323896,,,,,,5375.463707,,,10231.14447,8683.454516,,14584.42775,,281.2643859,3915.325593,,8969.632551,1003.121064,270.1229417,21842.81022,,983.4093689,,275.6701492,1555.615761,,,,128.0496273,112.58149,,481.0087671,10774.65331,,,338.9837336,238.8161481,,1986.327014,88.13005164,,,1285.297176,,324.4932317,631.1931315,,1829.666748,706.2150808,,,,,,13655.16097,,,1040.433898,,866.8567408,510.1450158,1687.875405,,,,,,,,1160.836672,8570.042186,8970.918377,,,2436.360342,,,,287.166739,,4459.999589,,,,,1064.99125,,,,639.7331052,,,775.0718447,,1273.959831,12321.77975,202.7516446,198.6687944,,,,,7281.567132,7087.089853,,10867.04914,,,,265.1565152,,,1316.348846,,,,,,,,172.9652023,615.7711765,,,,15413.83461,,,399.1438589,98.36036919,924.6279113,,,,,,486.3427398,,,2878.955496,,,,,,,675.3604773,,,,,146.8740867,9751.653223,,,,,1540.420451,352.629462,304.6519138,,,,,12346.17472,1115.217277,219.922976,,2070.577235,504.6615037,698.0194146,1887.525237,743.2724445,,,2940.75234,4844.565055,,,,,167.7636897,,,,,,1327.356598,,,,,,598.1338108,,,,1271.965573,241.7558272,2506.762034,,,,,,2526.477136,,5074.680642,286.3426659,266.0457883,,,,13758.58574,,583.448448,,,,371.5916919,,235.196946,,,,4238.361138,804.0415013,1759.622398,,,,,,,11040.78967,15490.73916,4123.413392,,,,,6070.145076,,,,,,,,,,556.4789533,386.4894074,,,,,,,,,,,,,,,,,
1965,,,,,1215.015783,,,,,,5855.611563,,,10633.0944,8927.460698,,15374.33583,,277.2733108,4347.904449,,9205.035593,1021.893592,279.8908938,22334.44348,,1015.387112,,283.7750518,1558.148565,,,,130.6400026,114.9206456,,479.4559002,11283.60611,,,335.4894692,235.2016803,,1948.831838,100.1375243,,,1285.785092,,318.8016289,636.697444,,1945.901543,657.589154,,,,,,14166.36717,,,882.376353,,868.0489096,543.1555139,1724.391115,,,,,,,,1096.771451,8994.464023,9289.066363,,8675.781816,2619.837439,,859.8166417,,283.7498731,,4856.142572,,,,,1081.822053,,,,688.6691973,,,819.9772274,5488.825769,1809.227744,13002.84732,193.2870608,195.5284399,965.0594898,,,,7671.003555,7257.325021,,11376.55711,,,,261.817474,,,1351.030613,,,,,,1558.054419,,173.3141646,629.1689273,,,,15127.46998,,,387.6113485,109.0299984,966.2884364,,,,,,549.0964132,,,2977.541328,,,,,,,669.291332,,,,,142.2427929,10450.06487,,7553.994849,,,1629.626468,365.9342254,312.5701584,,,,,12898.09416,1091.500026,236.7000443,,2194.360962,545.0844547,716.0939457,1924.819955,758.330884,,,3173.310788,5203.118256,,,,,174.2025495,,,,,,1325.131556,,,,,,588.5281832,,,,2485.941371,254.7680934,2782.514671,,,,,,2689.992793,,5333.775168,286.7429199,277.355218,,,,14150.45858,,577.3676257,,,,389.9389212,,264.3531037,,,,4217.63507,807.2993337,1767.92453,,,,,,,11276.0365,16277.37401,4121.472526,,,,,6108.34843,,,,,,,,,,629.5715716,392.3964169,,,,,,,,,,,,,,,,,
1966,,,,,1127.614288,,,,,,5733.311946,,,10635.67791,9365.306134,,16045.5276,,275.3870641,4509.680501,,9431.614088,1042.512127,285.0989908,25091.73205,,1056.898378,,293.3059905,1578.920249,,,,129.0297617,117.9242338,,489.8299735,11804.66776,,,330.8231802,226.1765228,,2096.923149,107.805084,,,1315.352957,,330.8769839,627.7325227,,2035.71387,705.2405258,,,,,,14438.2478,,,970.8211926,,841.74306,535.1545222,1793.604789,,,,,,,,1068.107304,9173.440093,9674.399361,,9178.656818,2716.908529,495.2517729,914.0967652,,265.5851393,,5114.437182,,,,,1111.158861,,,,705.4998918,,,839.8600817,5538.075288,1937.246514,13901.35006,189.098343,196.032651,1037.552962,,,,7472.469875,7632.105135,2761.258532,12472.45608,,,,290.6612808,,,1486.771804,,,,,,1610.394364,,169.244984,660.4532798,,,,15185.05726,,,385.8594581,120.4460898,1012.766153,,,,,,535.0665591,,,3068.06785,,,,,,,640.8286795,,,,,149.1698455,10597.29274,,7083.416309,,,1633.606596,353.7976187,292.7300751,,,,,13280.03272,1117.944791,243.993907,,2290.932004,564.4179825,705.2648869,2028.185677,768.1780039,,,3327.716125,5504.70693,,,,,180.8826644,,,,,,1311.554232,,,,,,587.4463885,,,,2475.7341,254.666195,3009.796972,,,,,,2748.871333,,5661.985541,293.9085304,261.0855319,,,,14309.50716,,515.5951214,,,,420.366839,,278.7622135,,,,4323.835112,817.2920789,1922.778942,,,,,,,11443.85302,17136.34957,4203.508063,,,,,5996.796963,,,,,,,,,,576.5401328,385.6256623,,,,,,,,,,,,,,,,,
1967,,,,,1200.558225,,,,,,5833.052305,,,11165.70646,9575.183558,,16866.147,,261.3677868,4978.131286,,9742.06281,1067.775051,283.2182902,27876.07966,,1104.197533,,301.6646926,1613.136923,,,,137.8409563,131.5715697,,425.9621712,11932.16501,,,339.1045646,223.2632112,,2128.054026,99.08012306,,,1331.512772,,318.2577461,623.3533086,,2088.610594,708.9933711,,,,,,14815.00155,,,973.3613109,,874.104975,525.1453069,1837.394948,,,,,,,,1181.964972,9321.777268,10039.63302,,8434.022011,2805.372572,485.1899096,961.7478022,,268.2539825,,5351.024542,,,,,1126.266809,,,,716.5029351,,,866.3601398,5486.45405,2074.804117,13505.51266,199.538561,193.2230674,1117.218268,,,,7371.037776,8120.993184,2778.83718,13726.06266,,,,290.609508,,,1541.54643,,,,,,1784.940025,,183.9763249,686.8898309,,,,15167.99777,,,397.0740148,126.0086103,1023.951967,,163.4999334,,,,538.7700101,,,3156.067772,,,,,,,685.1039305,,,,,143.7733322,11031.12197,,7258.537309,,,1695.648002,343.7856078,241.1966624,,,,,13993.29207,1807.059518,250.4985864,,2415.087873,574.2736127,745.0518511,2046.600496,785.4097058,,,3601.547409,5804.752217,,,,,187.6453587,,,,,,1174.769802,,,,,,562.6931235,,,,2427.807643,250.318701,3303.977377,,,,,,2884.270811,,5835.475946,305.7763507,258.456614,,,,14678.04613,,539.6908921,,,,443.034554,,281.3816064,,,,4337.56426,801.4185664,1970.693868,,,,,,,11645.43154,17374.53648,4009.715215,,,,,5969.103021,,,,,,,,,,603.3051336,404.5813315,,,,,,,,,,,,,,,,,
1968,,,,,1291.863983,,,,,,6028.124335,,,11533.02832,9951.60718,,17592.5456,,277.1832628,5310.781767,,10110.80421,1122.141798,288.8375829,27925.90781,,947.5543564,,323.5715454,1751.715524,,,,139.3893316,128.6699887,,441.9764664,12362.93157,,,336.6768872,217.6832943,,2163.994925,92.5691207,,,1377.663134,,322.4802977,652.1780312,,2201.295313,766.6051009,,,,,,15310.39116,,,947.3642212,,868.1510179,526.2595801,1844.499171,,,,,,,,1247.457107,9493.764637,10386.01969,,9348.35593,2847.887683,519.8855338,995.5354024,,264.0484527,,5670.613211,,,,,1192.632451,,,,705.8345262,,,899.6228019,5553.639911,2168.148235,12592.68463,201.8329124,210.9932763,1223.336951,,,,8390.943579,8597.987401,2906.531183,15442.80396,,,,303.417313,,,1683.820958,,,,,,1889.230705,,179.6037517,700.89646,,,,15762.37749,,,413.53477,120.4364023,1077.494233,,167.053427,,,,577.1833292,,,3356.690124,,,,,,,731.6628522,,,,,141.6685021,11617.6105,,8032.850026,,,1667.311201,334.9259792,232.8588716,,,,,14189.74105,3191.598135,261.5648227,,2508.044703,585.2838418,748.3209841,1997.485076,800.5564433,,,3938.007635,6043.083402,,,,,194.8154958,,,,,,1238.791051,,,,,6961.583877,579.6719036,,,,2548.722167,250.8657012,3689.697544,,,,,,2940.662208,,6139.631006,315.718246,257.0750097,,,,15126.81892,,541.1972521,,,,464.9066055,,281.9804815,,,,4483.756701,866.8699901,2060.045727,,,,,,,12050.66964,18027.61393,4049.126411,,,,,6203.924656,,,,,,,,,,592.0737923,399.3907779,,,,,,,,,,,,,,,,,
1969,,,,,1359.491003,,,,,,6515.364261,,,12091.75533,10539.697,,18516.80315,,272.977664,5693.657733,,10750.64458,1157.371743,291.5970238,28350.6432,,954.1823888,,361.0907543,1874.410695,,,,139.4757816,124.6500069,,452.1452746,12837.46788,,,353.1305226,227.7435682,,2196.266535,105.288508,,,1428.128215,,342.4621165,681.4274455,,2262.92864,806.0106233,,,,,,16188.61838,,,1020.714367,,888.625552,548.6990767,1857.145497,,,,,,,,1252.78439,10410.56839,11029.2372,,8779.498507,3040.434834,519.6168997,1033.389111,,274.1859812,,6209.257195,,,,,1216.018158,,,,738.8810798,,,882.0558597,6085.690328,2308.093923,12772.47105,210.3124294,221.034814,1344.657121,,,,9284.130405,9070.806162,3033.249688,17014.33887,,,,316.5516113,,,1879.800029,,,,,,1959.062758,,178.686999,732.1059078,,,,17249.59136,,,417.9926566,124.1312593,1102.056987,,164.8478041,,,,568.0101827,,,3373.136024,,,,,,,771.1255296,,,,,144.7873186,12222.20686,,8968.048242,,,1718.422605,307.2256399,282.622515,,,,,14708.60907,3887.369592,268.6497833,,2644.525554,618.0775402,759.1165562,2016.454263,813.9679888,,,4057.773988,6524.046606,,,,,209.7668823,,,,,,1261.364518,,,,,7101.897871,524.7764232,,,,2488.797035,267.4141375,4131.200684,,,,,,3013.973466,,6620.92178,332.8647475,254.0252238,,,,15773.38235,,621.3199253,,,,480.8833433,,299.0232004,,,,4532.100725,890.326021,2099.087037,,,,,,,12246.97375,18405.71964,4255.510464,,,,,6048.183076,,,,,,,,,,571.0319305,434.5662804,,,,,,,,,,,,,,,,,
