"World gross domestic product (GDP) by region expressed in purchasing power parity"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=3-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-3-IEO2016~Reference-d021916a.3-3-IEO2016~Reference-d021916a.4-3-IEO2016~Reference-d021916a.5-3-IEO2016~Reference-d021916a.6-3-IEO2016~Reference-d021916a.7-3-IEO2016~Reference-d021916a.8-3-IEO2016~Reference-d021916a.9-3-IEO2016~Reference-d021916a.10-3-IEO2016~Reference-d021916a.11-3-IEO2016~Reference-d021916a.14-3-IEO2016~Reference-d021916a.15-3-IEO2016~Reference-d021916a.16-3-IEO2016~Reference-d021916a.17-3-IEO2016~Reference-d021916a.18-3-IEO2016~Reference-d021916a.19-3-IEO2016~Reference-d021916a.20-3-IEO2016~Reference-d021916a.21-3-IEO2016~Reference-d021916a.22-3-IEO2016~Reference-d021916a.23-3-IEO2016~Reference-d021916a.24-3-IEO2016~Reference-d021916a.25-3-IEO2016~Reference-d021916a.26-3-IEO2016~Reference-d021916a.28-3-IEO2016&ctype=linechart&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:39:04 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Pinned Series,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD,"",""3-IEO2016.1.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD Americas,"GDP (purchasing power parity): OECD: OECD Americas": Reference case,""3-IEO2016.2.Reference-d021916a,"bill 2010 $",18248.1,18615.81,19080.01,19497.11,19926.65,20505.95,21036.51,21558.77,22160.61,22755.16,23390.4,23981.13,24578.63,25216.9,25890.61,26576.73,27245.4,27919.43,28593.56,29259.76,29942.41,30618.5,31303.23,32034.26,32792.43,33569.18,34372.7,35186.15,36025.19,36879.56,37770.22,"2.5%"
United States,"GDP (purchasing power parity): OECD: OECD Americas: United States": Reference case,""3-IEO2016.3.Reference-d021916a,"bill 2010 $",14783.8,15020.58,15369.17,15710.28,16055.5,16553.14,16970.45,17369.32,17834.77,18296.28,18800.78,19259.29,19721.37,20221.1,20753.01,21295.42,21818.3,22343.53,22863.61,23373.62,23894.09,24405.11,24921.5,25479.67,26061.69,26658.65,27278.24,27907.75,28554.4,29212.32,29897.88,"2.4%"
Canada,"GDP (purchasing power parity): OECD: OECD Americas: Canada": Reference case,""3-IEO2016.4.Reference-d021916a,"bill 2010 $",1355.48,1395.6,1422.44,1450.94,1486.33,1506.5,1540.04,1581.56,1624.04,1662.76,1699.77,1735.42,1771.42,1807.88,1844.64,1881.33,1917.65,1954.92,1993.28,2033.03,2074.28,2115.92,2158.3,2201.87,2246.7,2292.5,2338.29,2384.68,2431.95,2480.22,2529.41,"2.1%"
Mexico/Chile,"GDP (purchasing power parity): OECD: OECD Americas: Mexico/Chile": Reference case,""3-IEO2016.5.Reference-d021916a,"bill 2010 $",2108.82,2199.63,2288.4,2335.89,2384.83,2446.31,2526.02,2607.88,2701.8,2796.13,2889.86,2986.43,3085.84,3187.92,3292.95,3399.98,3509.46,3620.98,3736.67,3853.1,3974.04,4097.47,4223.44,4352.72,4484.04,4618.02,4756.17,4893.73,5038.83,5187.02,5342.93,"3.1%"
OECD Europe,"GDP (purchasing power parity): OECD: OECD Europe": Reference case,""3-IEO2016.6.Reference-d021916a,"bill 2010 $",18255.71,18669.65,18637.83,18725.58,19012.69,19392.29,19830.02,20252.83,20666.63,21078.38,21496.43,21913.76,22335.61,22765.23,23196.54,23620.72,24043.01,24461.85,24881.71,25294.83,25697.19,26112.28,26530.71,26953.34,27377.19,27809.48,28252.03,28697.19,29151.2,29610.1,30073.53,"1.7%"
OECD Asia,"GDP (purchasing power parity): OECD: OECD Asia": Reference case,""3-IEO2016.7.Reference-d021916a,"bill 2010 $",6841.06,6903.95,7051.15,7188.95,7267.13,7390.78,7564.3,7696.85,7811.68,7923.64,8033.66,8144.35,8252.73,8359.21,8466.58,8574.67,8675.75,8777.42,8883.41,8988.82,9091.49,9199.33,9312.39,9425.9,9537.61,9647.37,9755.86,9861.42,9966.42,10078.27,10198.36,"1.3%"
Japan,"GDP (purchasing power parity): OECD: OECD Asia: Japan": Reference case,""3-IEO2016.8.Reference-d021916a,"bill 2010 $",4316.64,4298.77,4373.41,4442.29,4435.84,4480.7,4561.21,4596.49,4622.64,4658.05,4695.03,4734.27,4774.13,4812.96,4850.62,4886,4912.92,4940.28,4968.86,4997.45,5024.69,5051.68,5077.91,5102.04,5122.97,5140.91,5153.07,5158.32,5160.09,5163.61,5172.92,"0.6%"
South Korea,"GDP (purchasing power parity): OECD: OECD Asia: South Korea": Reference case,""3-IEO2016.9.Reference-d021916a,"bill 2010 $",1473.71,1527.96,1562.99,1608.26,1661.49,1708.78,1767.59,1827.54,1880.11,1921.14,1959.59,1996.16,2030.65,2063.89,2098.47,2135.02,2172.99,2210.89,2251.35,2290.83,2327.34,2367.3,2410.41,2453.03,2494.15,2535.38,2578.99,2623.04,2667.5,2715.35,2763.77,"2.1%"
