"World liquids consumption by region"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=5-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-5-IEO2016~Reference-d021916a.3-5-IEO2016~Reference-d021916a.4-5-IEO2016~Reference-d021916a.5-5-IEO2016~Reference-d021916a.6-5-IEO2016~Reference-d021916a.7-5-IEO2016~Reference-d021916a.8-5-IEO2016~Reference-d021916a.9-5-IEO2016~Reference-d021916a.10-5-IEO2016~Reference-d021916a.11-5-IEO2016~Reference-d021916a.14-5-IEO2016~Reference-d021916a.15-5-IEO2016~Reference-d021916a.16-5-IEO2016~Reference-d021916a.17-5-IEO2016~Reference-d021916a.18-5-IEO2016~Reference-d021916a.19-5-IEO2016~Reference-d021916a.20-5-IEO2016~Reference-d021916a.21-5-IEO2016~Reference-d021916a.22-5-IEO2016~Reference-d021916a.23-5-IEO2016~Reference-d021916a.24-5-IEO2016~Reference-d021916a.25-5-IEO2016~Reference-d021916a.26-5-IEO2016&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:41:18 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Pinned Series,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD,"",""5-IEO2016.1.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD Americas,"Liquids consumption: OECD: OECD Americas": Reference case,""5-IEO2016.2.Reference-d021916a,"million b/d",23.86,23.618,23.245,23.78,23.703,23.955,24.066,24.016,24.212,24.325,24.408,24.384,24.381,24.385,24.381,24.352,24.319,24.296,24.295,24.292,24.297,24.303,24.295,24.314,24.35,24.396,24.45,24.511,24.58,24.613,24.648,"0.2%"
United States,"Liquids consumption: OECD: OECD Americas: United States": Reference case,""5-IEO2016.3.Reference-d021916a,"million b/d",19.174,18.863,18.466,18.964,19.001,19.264,19.364,19.314,19.49,19.583,19.646,19.643,19.662,19.671,19.659,19.612,19.555,19.511,19.48,19.442,19.41,19.371,19.322,19.298,19.289,19.286,19.286,19.3,19.315,19.294,19.269,"0.2%"
Canada,"Liquids consumption: OECD: OECD Americas: Canada": Reference case,""5-IEO2016.4.Reference-d021916a,"million b/d",2.283,2.31,2.352,2.431,2.413,2.392,2.385,2.385,2.385,2.385,2.385,2.381,2.376,2.376,2.376,2.376,2.378,2.377,2.38,2.385,2.39,2.401,2.408,2.418,2.428,2.438,2.451,2.463,2.477,2.489,2.505,"0.2%"
Mexico/Chile,"Liquids consumption: OECD: OECD Americas: Mexico/Chile": Reference case,""5-IEO2016.5.Reference-d021916a,"million b/d",2.403,2.445,2.427,2.385,2.289,2.3,2.317,2.317,2.337,2.357,2.377,2.361,2.344,2.338,2.347,2.364,2.385,2.408,2.436,2.465,2.497,2.532,2.564,2.599,2.634,2.672,2.712,2.748,2.788,2.829,2.874,"0.6%"
OECD Europe,"Liquids consumption: OECD: OECD Europe": Reference case,""5-IEO2016.6.Reference-d021916a,"million b/d",14.92,14.483,14.052,13.856,13.662,13.831,13.875,13.703,13.703,13.703,13.703,13.649,13.611,13.59,13.576,13.57,13.577,13.586,13.61,13.635,13.654,13.68,13.703,13.729,13.755,13.788,13.823,13.86,13.899,13.935,13.975,"-0.0%"
OECD Asia,"Liquids consumption: OECD: OECD Asia": Reference case,""5-IEO2016.7.Reference-d021916a,"million b/d",7.856,7.904,8.241,8.09,7.886,7.795,7.823,7.77,7.738,7.706,7.674,7.637,7.601,7.576,7.559,7.549,7.539,7.525,7.517,7.51,7.501,7.497,7.496,7.495,7.494,7.492,7.492,7.49,7.484,7.476,7.474,"-0.3%"
Japan,"Liquids consumption: OECD: OECD Asia: Japan": Reference case,""5-IEO2016.8.Reference-d021916a,"million b/d",4.429,4.442,4.695,4.531,4.297,4.142,4.081,4.038,3.995,3.952,3.909,3.861,3.819,3.787,3.763,3.745,3.727,3.707,3.689,3.672,3.655,3.639,3.621,3.601,3.58,3.556,3.53,3.5,3.465,3.429,3.396,"-1.2%"
South Korea,"Liquids consumption: OECD: OECD Asia: South Korea": Reference case,""5-IEO2016.9.Reference-d021916a,"million b/d",2.269,2.259,2.322,2.324,2.35,2.377,2.43,2.41,2.411,2.412,2.412,2.416,2.416,2.416,2.415,2.415,2.416,2.417,2.423,2.429,2.435,2.443,2.453,2.464,2.474,2.484,2.496,2.509,2.522,2.535,2.549,"0.3%"
