"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2467703910.61453","","","","","","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8013233121.55065","8689883606.07776","8781610175.40574","9762978844.07633","10305228125.1392","11721187594.2052","12144482858.18","14697331940.6464","15936800636.2487","16911126453.2276","19352203805.6294","19731337260.6378","19990317160.6756","20212720937.3679","20663923801.4303",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","27308217745.3027","28072847844.34","30290602825.0746","31986876577.4349","32114824089.7994","32018479611.528","31634257859.5578","29451494066.6941","22176975036.2843","22953169160.1838","25340298757.1282","28178412209.4545","30404506776.7536","32473461135.5772","33525536222.4799","34535350910.2526","35993076035.6583","33494990431.6857","35252638225.9501","39087976314.0264","46226007691.4898","55811028114.6479","68420444001.4995","77874196512.1845","79753199398.1396","82470913120.7314","85702615836.4404","90120963241.2186","96261432368.2645","100886286610.958","103919917621.964","103919917621.964",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5442066396.47434","5754747683.96461","5924431990.11235","5989893305.96701","5914924002.32852","6020247739.30112","6359623744.29874","6309519915.74282","6219922230.91034","6831747927.07938","6177564328.29592","4349684961.20066","4036507644.59602","4424012380.31003","4791205406.9833","5428435725.74621","5922423377.20799","5280559675.53138","5756277509.98431","6533442516.57839","6969002334.66681","7522364217.02382","7840663356.33994","8293343315.1224","8766856445.41731","9268392517.6528","9771760095.9434","10348293941.5853","11127520474.2981","11500292411.1744","11926953258.916","12231090567.6672","12404772053.5014","12542465022.373","12768229392.5364","13098926534.4647","13552149391.8197",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1022932332.66155","1070493217.13327","1157735668.39256","1247905531.22206","1318022719.04584","1325169112.8123","1368949878.34546","1407808555.10435","1428404796.78457","1428998401.75321","1460561083.95533","1458626212.79457","1476807421.32729","1502948659.99802","1529771584.74417","1565284207.62961","1616207939.64882","1705860968.59107","1792763090.90472","1879300379.21772","1950364010.52932","2000020334.24944","2018604762.32349","1997783176.95569","2045394099.72153","2101795825.39904","2199523869.73738","2398969484.18624","2475611528.47243","2577088846.22554","2607132215.01776","2765301206.37186","2943022832.5185","3296889535.81886","3562932178.37276","3842255532.55173","4018434882.50965","4021570844.09338","3675946750.20161","3535599617.02825","3346516556.29139","3185794241.02485","3129723933.36389","3127736110.72066","","","",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","575714056506.873","667270735741.696","724025454619.833","718244283777.439","801596944849.54","874903526683.302","898412917899.206","817622484589.782","763875506440.241","772021509367.654","755310258393.265","789018914222.332","784076604630.054","827896884287.441","845456582853.987","956561034054.956","971192742594.042","1017765270839.26","1050343313674.2","1084057670288.3","1113926362868.35","1163815662113.22","1212548085822.94","1274390444132.81","1297427580033.87","1367121360879.45","1389184467876.45","1397302938503.69","1471629209222.68","1609015510327.92","1700991624869.49","1811478555289.98","1894294802936.61","2004466100237.86","2013122014523.5","2109224213446","2184532658721.55","2297285070538.48","2381065555901.06","2450386617527.71","2535777890467.83","2617570157004.63",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673989.3106","66195031474.8618","80386802823.7776","79108971553.2077","95661395026.1729","118500337748.222","124021477838.328","115688082601.639","110197733636.504","114624322914.895","110504178533.654","93974812613.2439","97153023591.927","94608675557.3476","106281391105.263","125760629069.095","126842273533.173","131085077657.912","132738310797.024","141892141885.806","151381727246.783","160159451452.521","173277149005.664","173783108479.994","178826665575.327","198234194627.698","201007659564.751","205899094153","224019327975.827","245449995053.733","257366938877.461","282684947643.94","291686739340.61","300996902483.404","285215869947.001","289880430197.25","308313695434.44","324052121215.36","342814434666.521","354075635621.473","367632720967.186","378795740748.605",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","226327993530.555","213450998966.355","202869851896.919","210731309048.029","215392208305.706","199051096781.772","214727922914.33","220976490720.555","215326332052.416","199185061978.086","194406693571.09","219037458045.206","245192227489.582","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455453204462.872","444986088267.238",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6357857589.67955","5613988348.21507","3267341064.35725","2979815090.15052","3140725188.15958","3357435176.11712","3554362204.05763","3672405405.53258","3940491000.13646","4070527203.14096","4310688308.12627","4722645335.72382","5345387542.756","6095922452.58145","6734033975.06956","7667755681.51717","8679746345.92191","9873142200.51879","10554389012.5207","9060944166.21842","9260284937.79782","9695518329.74638","10393595649.8063","10736584306.437","11123101341.572","11456794381.4697","11479707970.0305",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405286","573462555.066079","576000000","577691629.955947","552317180.61674","534555066.079295","542167400.881057","548088105.726872","",
