"World coal consumption by region"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=7-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-7-IEO2016~Reference-d021916a.3-7-IEO2016~Reference-d021916a.4-7-IEO2016~Reference-d021916a.5-7-IEO2016~Reference-d021916a.6-7-IEO2016~Reference-d021916a.7-7-IEO2016~Reference-d021916a.8-7-IEO2016~Reference-d021916a.9-7-IEO2016~Reference-d021916a.10-7-IEO2016~Reference-d021916a.11-7-IEO2016~Reference-d021916a.14-7-IEO2016~Reference-d021916a.15-7-IEO2016~Reference-d021916a.16-7-IEO2016~Reference-d021916a.17-7-IEO2016~Reference-d021916a.18-7-IEO2016~Reference-d021916a.19-7-IEO2016~Reference-d021916a.20-7-IEO2016~Reference-d021916a.21-7-IEO2016~Reference-d021916a.22-7-IEO2016~Reference-d021916a.23-7-IEO2016~Reference-d021916a.24-7-IEO2016~Reference-d021916a.25-7-IEO2016~Reference-d021916a.26-7-IEO2016~Reference-d021916a.28-7-IEO2016&ctype=linechart&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:42:47 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Pinned Series,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD,"",""7-IEO2016.1.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD Americas,"Coal consumption: OECD: OECD Americas": Reference case,""7-IEO2016.2.Reference-d021916a,"quad Btu",22.156,20.96,18.655,19.323,19.64,19.383,19.053,19.255,19.431,19.994,20.333,20.363,20.428,20.495,20.556,20.489,20.449,20.384,20.327,20.158,20.131,20.096,20.068,20.041,20.03,20.039,20.026,20.002,20.032,20.009,19.999,"0.2%"
United States,"Coal consumption: OECD: OECD Americas: United States": Reference case,""7-IEO2016.3.Reference-d021916a,"quad Btu",20.804,19.622,17.331,18.013,18.328,18.093,17.777,17.975,18.159,18.808,19.176,19.215,19.278,19.341,19.4,19.329,19.305,19.275,19.234,19.191,19.159,19.116,19.082,19.047,19.029,19.029,19.03,18.999,19.019,19.009,19.008,"0.3%"
Canada,"Coal consumption: OECD: OECD Americas: Canada": Reference case,""7-IEO2016.4.Reference-d021916a,"quad Btu",0.806,0.731,0.738,0.721,0.724,0.699,0.689,0.695,0.69,0.606,0.579,0.573,0.576,0.58,0.584,0.588,0.57,0.534,0.516,0.388,0.392,0.395,0.399,0.402,0.406,0.41,0.391,0.395,0.399,0.38,0.362,"-2.5%"
Mexico/Chile,"Coal consumption: OECD: OECD Americas: Mexico/Chile": Reference case,""7-IEO2016.5.Reference-d021916a,"quad Btu",0.546,0.607,0.586,0.589,0.588,0.591,0.588,0.585,0.582,0.58,0.577,0.575,0.574,0.573,0.572,0.573,0.574,0.575,0.577,0.579,0.581,0.584,0.587,0.591,0.595,0.6,0.606,0.608,0.614,0.62,0.629,"0.3%"
OECD Europe,"Coal consumption: OECD: OECD Europe": Reference case,""7-IEO2016.6.Reference-d021916a,"quad Btu",12.488,12.941,13.404,12.704,13.096,13.092,13.121,13.145,13.132,13.162,13.155,13.167,13.204,13.261,13.328,13.33,13.277,13.223,13.171,13.119,13.062,13.011,12.956,12.904,12.849,12.801,12.759,12.715,12.683,12.647,12.621,"-0.2%"
OECD Asia,"Coal consumption: OECD: OECD Asia": Reference case,""7-IEO2016.7.Reference-d021916a,"quad Btu",9.855,9.687,9.72,9.78,9.902,10.042,10.162,10.249,10.229,10.238,10.234,10.219,10.199,10.178,10.15,10.141,10.137,10.107,10.079,10.068,10.057,10.051,10.057,10.057,10.058,10.058,10.059,10.059,10.067,10.08,10.105,"0.1%"
Japan,"Coal consumption: OECD: OECD Asia: Japan": Reference case,""7-IEO2016.8.Reference-d021916a,"quad Btu",4.738,4.337,4.575,4.689,4.691,4.704,4.572,4.578,4.558,4.551,4.535,4.519,4.501,4.483,4.462,4.445,4.424,4.398,4.373,4.349,4.323,4.295,4.268,4.238,4.206,4.171,4.133,4.091,4.048,4.002,3.959,"-0.5%"
South Korea,"Coal consumption: OECD: OECD Asia: South Korea": Reference case,""7-IEO2016.9.Reference-d021916a,"quad Btu",2.924,3.214,3.044,3.042,3.192,3.334,3.6,3.689,3.703,3.719,3.736,3.743,3.746,3.749,3.749,3.764,3.787,3.791,3.797,3.819,3.842,3.872,3.911,3.947,3.984,4.021,4.061,4.102,4.15,4.203,4.263,"1.2%"
