"World natural gas consumption by region"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=6-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-6-IEO2016~Reference-d021916a.3-6-IEO2016~Reference-d021916a.4-6-IEO2016~Reference-d021916a.5-6-IEO2016~Reference-d021916a.6-6-IEO2016~Reference-d021916a.7-6-IEO2016~Reference-d021916a.8-6-IEO2016~Reference-d021916a.9-6-IEO2016~Reference-d021916a.10-6-IEO2016~Reference-d021916a.11-6-IEO2016~Reference-d021916a.14-6-IEO2016~Reference-d021916a.15-6-IEO2016~Reference-d021916a.16-6-IEO2016~Reference-d021916a.17-6-IEO2016~Reference-d021916a.18-6-IEO2016~Reference-d021916a.19-6-IEO2016~Reference-d021916a.20-6-IEO2016~Reference-d021916a.21-6-IEO2016~Reference-d021916a.22-6-IEO2016~Reference-d021916a.23-6-IEO2016~Reference-d021916a.24-6-IEO2016~Reference-d021916a.25-6-IEO2016~Reference-d021916a.26-6-IEO2016~Reference-d021916a.28-6-IEO2016&ctype=linechart&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:42:11 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Pinned Series,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD,"",""6-IEO2016.1.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD Americas,"Natural gas consumption: OECD: OECD Americas": Reference case,""6-IEO2016.2.Reference-d021916a,"Tcf",29.977,30.762,31.823,32.295,33.261,32.775,33.327,32.667,32.799,32.863,32.789,32.858,33.151,33.585,33.934,34.341,34.67,35.114,35.553,36.066,36.452,36.732,37.016,37.36,37.731,38.203,38.67,39.087,39.456,39.766,40.082,"0.8%"
United States,"Natural gas consumption: OECD: OECD Americas: United States": Reference case,""6-IEO2016.3.Reference-d021916a,"Tcf",24.063,24.473,25.528,26.156,27.121,26.555,27.045,26.391,26.426,26.334,26.142,26.091,26.198,26.404,26.646,26.881,27.074,27.351,27.612,27.869,28.08,28.18,28.294,28.438,28.594,28.819,29.047,29.249,29.428,29.559,29.702,"0.5%"
Canada,"Natural gas consumption: OECD: OECD Americas: Canada": Reference case,""6-IEO2016.4.Reference-d021916a,"Tcf",3.44,3.731,3.711,3.592,3.58,3.646,3.692,3.68,3.725,3.817,3.865,3.911,3.988,4.114,4.136,4.235,4.302,4.393,4.486,4.654,4.738,4.814,4.883,4.976,5.081,5.21,5.34,5.435,5.494,5.561,5.623,"1.5%"
Mexico/Chile,"Natural gas consumption: OECD: OECD Americas: Mexico/Chile": Reference case,""6-IEO2016.5.Reference-d021916a,"Tcf",2.473,2.558,2.584,2.548,2.56,2.574,2.59,2.596,2.648,2.712,2.783,2.856,2.964,3.067,3.151,3.225,3.293,3.369,3.455,3.543,3.634,3.739,3.84,3.946,4.056,4.174,4.283,4.404,4.534,4.646,4.757,"2.2%"
OECD Europe,"Natural gas consumption: OECD: OECD Europe": Reference case,""6-IEO2016.6.Reference-d021916a,"Tcf",19.958,18.55,17.782,17.755,18.128,18.193,18.883,18.779,18.944,19.059,19.168,19.379,19.684,19.921,20.235,20.563,20.917,21.275,21.649,21.953,22.326,22.58,22.861,23.086,23.406,23.666,23.948,24.343,24.626,25.027,25.348,"1.3%"
OECD Asia,"Natural gas consumption: OECD: OECD Asia": Reference case,""6-IEO2016.7.Reference-d021916a,"Tcf",6.756,7.559,7.879,8.022,8.182,8.529,8.546,8.591,8.665,8.803,8.931,9.188,9.387,9.528,9.685,9.824,9.998,10.09,10.199,10.315,10.394,10.56,10.721,10.913,11.106,11.326,11.499,11.713,11.904,12.079,12.2,"1.6%"
Japan,"Natural gas consumption: OECD: OECD Asia: Japan": Reference case,""6-IEO2016.8.Reference-d021916a,"Tcf",3.861,4.484,4.655,4.787,4.836,5.071,5.035,4.99,4.997,5.085,5.148,5.32,5.441,5.522,5.61,5.647,5.698,5.717,5.749,5.758,5.742,5.779,5.802,5.843,5.875,5.938,5.95,5.991,6.025,6.047,6.022,"0.9%"
South Korea,"Natural gas consumption: OECD: OECD Asia: South Korea": Reference case,""6-IEO2016.9.Reference-d021916a,"Tcf",1.524,1.641,1.774,1.804,1.915,1.975,2.001,2.055,2.093,2.102,2.122,2.137,2.148,2.15,2.16,2.201,2.263,2.269,2.278,2.319,2.355,2.42,2.485,2.557,2.625,2.688,2.752,2.819,2.87,2.926,2.972,"1.9%"
Australia/New Zealand,"Natural gas consumption: OECD: OECD Asia: Australia/New Zealand": Reference case,""6-IEO2016.10.Reference-d021916a,"Tcf",1.371,1.435,1.45,1.431,1.431,1.483,1.509,1.547,1.575,1.616,1.661,1.731,1.798,1.856,1.915,1.976,2.037,2.105,2.173,2.237,2.296,2.362,2.434,2.513,2.606,2.7,2.797,2.903,3.01,3.106,3.206,"2.9%"
Total OECD,"Natural gas consumption: OECD: OECD Asia: Total OECD": Reference case,""6-IEO2016.11.Reference-d021916a,"Tcf",56.69,56.871,57.484,58.073,59.571,59.497,60.756,60.037,60.408,60.725,60.889,61.425,62.221,63.034,63.853,64.728,65.585,66.479,67.401,68.333,69.172,69.873,70.598,71.36,72.243,73.195,74.117,75.143,75.987,76.871,77.631,"1.1%"
Non-OECD,"",""6-IEO2016.13.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Non-OECD Europe and Eurasia,"Natural gas consumption: Non-OECD: Non-OECD Europe and Eurasia": Reference case,""6-IEO2016.14.Reference-d021916a,"Tcf",22.325,22.809,23.023,22.976,22.589,21.68,21.517,21.44,21.907,22.227,22.52,22.869,23.201,23.43,23.645,23.877,24.129,24.366,24.593,24.751,25.03,25.212,25.402,25.577,25.8,25.979,26.037,26.109,26.069,26.063,25.963,"0.4%"
Russia,"Natural gas consumption: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference case,""6-IEO2016.15.Reference-d021916a,"Tcf",15.471,15.328,15.711,15.638,15.273,14.876,14.842,14.682,14.973,15.185,15.343,15.496,15.626,15.709,15.743,15.806,15.896,15.982,16.061,16.088,16.18,16.222,16.267,16.338,16.416,16.476,16.439,16.389,16.274,16.175,16.01,"0.1%"
Other,"Natural gas consumption: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference case,""6-IEO2016.16.Reference-d021916a,"Tcf",6.854,7.481,7.311,7.338,7.316,6.804,6.675,6.758,6.933,7.042,7.177,7.372,7.575,7.721,7.903,8.071,8.233,8.384,8.532,8.663,8.85,8.99,9.135,9.24,9.384,9.503,9.598,9.721,9.795,9.888,9.952,"1.1%"
Non-OECD Asia,"Natural gas consumption: Non-OECD: Non-OECD Asia": Reference case,""6-IEO2016.17.Reference-d021916a,"Tcf",13.877,14.627,15.102,15.111,15.694,16.399,17.37,18.264,18.966,19.9,20.821,21.94,23.019,24.459,25.924,27.216,28.457,29.777,31.148,32.449,34.037,35.708,37.541,39.121,40.794,42.496,44.121,45.84,47.591,49.219,50.761,"4.4%"
China,"Natural gas consumption: Non-OECD: Non-OECD Asia: China": Reference case,""6-IEO2016.18.Reference-d021916a,"Tcf",3.769,4.624,5.074,5.131,5.487,5.806,6.508,7.351,7.852,8.436,9.121,10.004,10.828,11.787,12.708,13.524,14.266,15.051,15.847,16.582,17.56,18.563,19.748,20.685,21.663,22.654,23.587,24.604,25.644,26.655,27.539,"6.2%"
India,"Natural gas consumption: Non-OECD: Non-OECD Asia: India": Reference case,""6-IEO2016.19.Reference-d021916a,"Tcf",2.277,2.261,2.08,1.859,1.91,1.957,2.05,2.089,2.154,2.233,2.311,2.396,2.491,2.592,2.761,2.885,3.031,3.191,3.366,3.543,3.766,4.01,4.236,4.45,4.679,4.921,5.152,5.387,5.612,5.822,6.02,"3.9%"
Other,"Natural gas consumption: Non-OECD: Non-OECD Asia: Other": Reference case,""6-IEO2016.20.Reference-d021916a,"Tcf",7.831,7.742,7.948,8.121,8.297,8.636,8.813,8.824,8.96,9.231,9.389,9.54,9.699,10.08,10.456,10.808,11.161,11.535,11.935,12.324,12.711,13.134,13.558,13.986,14.452,14.922,15.382,15.848,16.335,16.742,17.202,"2.8%"
