"World nuclear energy consumption by region"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=8-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-8-IEO2016~Reference-d021916a.3-8-IEO2016~Reference-d021916a.4-8-IEO2016~Reference-d021916a.5-8-IEO2016~Reference-d021916a.6-8-IEO2016~Reference-d021916a.7-8-IEO2016~Reference-d021916a.8-8-IEO2016~Reference-d021916a.9-8-IEO2016~Reference-d021916a.10-8-IEO2016~Reference-d021916a.11-8-IEO2016~Reference-d021916a.14-8-IEO2016~Reference-d021916a.15-8-IEO2016~Reference-d021916a.16-8-IEO2016~Reference-d021916a.17-8-IEO2016~Reference-d021916a.18-8-IEO2016~Reference-d021916a.19-8-IEO2016~Reference-d021916a.20-8-IEO2016~Reference-d021916a.21-8-IEO2016~Reference-d021916a.22-8-IEO2016~Reference-d021916a.23-8-IEO2016~Reference-d021916a.24-8-IEO2016~Reference-d021916a.25-8-IEO2016~Reference-d021916a.26-8-IEO2016~Reference-d021916a.28-8-IEO2016&ctype=linechart&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:43:24 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Pinned Series,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD,"",""8-IEO2016.1.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD Americas,"Nuclear use: OECD: OECD Americas": Reference case,""8-IEO2016.2.Reference-d021916a,"bill kWh",898.06,887.83,866.8,896.39,888.56,879.32,882.94,896.44,895.77,898.77,901.67,904.57,901.91,891.2,898.35,891.2,892.92,894.64,896.35,898.07,900.58,902.18,902.58,902.68,903.48,900.02,897.2,901.99,907.61,913.63,923.64,"0.2%"
United States,"Nuclear use: OECD: OECD Americas: United States": Reference case,""8-IEO2016.3.Reference-d021916a,"bill kWh",806.97,790.2,769.33,789,783.6,774.2,781.4,794.9,797.8,800.8,803.7,806.6,807.5,807.5,807.5,807.5,807.5,807.5,807.5,807.5,808.3,809.9,810.3,810.4,811.2,812.3,813.3,816.7,820.6,824.9,833.2,"0.3%"
Canada,"Nuclear use: OECD: OECD Americas: Canada": Reference case,""8-IEO2016.4.Reference-d021916a,"bill kWh",85.5,88.32,89.06,96.17,93.43,93.43,89.85,89.85,86.28,86.28,86.28,86.28,82.72,72.01,79.16,72.01,72.01,72.01,72.01,72.01,72.01,72.01,72.01,72.01,72.01,67.45,61.91,61.59,61.59,61.59,61.59,"-1.3%"
Mexico/Chile,"Nuclear use: OECD: OECD Americas: Mexico/Chile": Reference case,""8-IEO2016.5.Reference-d021916a,"bill kWh",5.59,9.31,8.41,11.22,11.53,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,13.41,15.12,16.84,18.55,20.27,20.27,20.27,20.27,20.27,20.27,21.99,23.7,25.42,27.13,28.85,"4.5%"
OECD Europe,"Nuclear use: OECD: OECD Europe": Reference case,""8-IEO2016.6.Reference-d021916a,"bill kWh",871.67,861.16,837.38,895.6,886.4,877.19,870.76,864.33,857.91,851.48,845.05,851.81,858.57,865.34,872.1,878.86,889.09,899.33,909.56,919.8,930.03,933.63,937.24,940.84,944.45,948.05,937.56,927.07,916.58,906.09,895.6,"0.2%"
OECD Asia,"Nuclear use: OECD: OECD Asia": Reference case,""8-IEO2016.7.Reference-d021916a,"bill kWh",422.14,303.94,160.78,146.41,179.4,226.73,270.12,321.06,346.43,359.19,380.78,398.08,415.38,426.41,437.45,437.45,432.87,444.7,456.52,456.52,456.52,456.52,456.52,456.52,456.52,450.26,450.26,444.06,433.21,426.95,426.95,"3.5%"
Japan,"Nuclear use: OECD: OECD Asia: Japan": Reference case,""8-IEO2016.8.Reference-d021916a,"bill kWh",280.25,156.18,17.23,13.95,13.95,36.41,67.1,107.47,132.84,145.61,167.19,173.45,179.71,179.71,179.71,179.71,175.14,175.14,175.14,175.14,175.14,175.14,175.14,175.14,175.14,168.87,168.87,162.68,151.82,145.56,145.56,"7.9%"
South Korea,"Nuclear use: OECD: OECD Asia: South Korea": Reference case,""8-IEO2016.9.Reference-d021916a,"bill kWh",141.89,147.76,143.55,132.46,179.4,190.32,203.02,213.59,213.59,213.59,213.59,224.62,235.66,246.7,257.74,257.74,257.74,269.56,281.39,281.39,281.39,281.39,281.39,281.39,281.39,281.39,281.39,281.39,281.39,281.39,281.39,"2.4%"
Australia/New Zealand,"Nuclear use: OECD: OECD Asia: Australia/New Zealand": Reference case,""8-IEO2016.10.Reference-d021916a,"bill kWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--"
Total OECD,"Nuclear use: OECD: OECD Asia: Total OECD": Reference case,""8-IEO2016.11.Reference-d021916a,"bill kWh",2191.87,2052.93,1864.96,1938.41,1954.36,1983.24,2023.83,2081.83,2100.11,2109.45,2127.5,2154.46,2175.86,2182.95,2207.89,2207.51,2214.89,2238.66,2262.44,2274.39,2287.14,2292.34,2296.35,2300.05,2304.45,2298.33,2285.02,2273.13,2257.4,2246.67,2246.19,"0.7%"
Non-OECD,"",""8-IEO2016.13.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Non-OECD Europe and Eurasia,"Nuclear use: Non-OECD: Non-OECD Europe and Eurasia": Reference case,""8-IEO2016.14.Reference-d021916a,"bill kWh",270.58,275.35,278.73,287.29,305.07,312.3,328.03,328.35,353.66,364.75,375.5,384.28,402.49,405.07,401,414.93,406.56,404.68,401.24,410.94,410.56,420.61,430.77,426.45,422.31,411.51,410.08,411.53,412.98,411.55,413.01,"1.4%"
Russia,"Nuclear use: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference case,""8-IEO2016.15.Reference-d021916a,"bill kWh",159.41,162.02,166.29,161.38,179.03,186.11,198.82,196.13,218.42,226.48,234.22,241.75,258.71,260.04,254.72,267.4,254.26,247.61,239.4,244.33,239.18,246.89,254.71,248.05,241.57,228.43,225.55,225.55,225.55,222.67,222.67,"1.0%"
Other,"Nuclear use: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference case,""8-IEO2016.16.Reference-d021916a,"bill kWh",111.17,113.33,112.44,125.91,126.05,126.19,129.21,132.23,135.24,138.26,141.28,142.53,143.78,145.03,146.28,147.53,152.3,157.07,161.84,166.61,171.38,173.72,176.06,178.4,180.74,183.08,184.53,185.98,187.44,188.89,190.34,"1.9%"
Non-OECD Asia,"Nuclear use: Non-OECD: Non-OECD Asia": Reference case,""8-IEO2016.17.Reference-d021916a,"bill kWh",133.89,155.73,166.31,188.1,201.2,261.71,342.82,376.28,394.46,412.65,458.91,509.66,566.29,582.31,586.57,661.77,752.51,833.45,916.93,998.27,1051.49,1101.73,1151.97,1202.2,1252.44,1297.24,1351.53,1405.82,1458.85,1513.14,1558.81,"8.3%"
