"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3671232222.36581","","","","","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19243809662.7756","21284923743.126","22101051954.6374","25361507049.8761","27592569518.5013","32219074824.5206","34037462001.3289","41505186409.2602","45555113006.3501","49338254430.557","57500127993.256","59573450332.3275","61435943661.5631","62787809845.5924","65033592566.0889",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34569336016.9061","35291341120.6238","33605213160.2357","25906791101.7047","27384156308.201","30862652597.0763","34945786282.757","38351851582.7467","41406142195.3761","43401794411.2996","45726453705.2664","48742596951.3517","46055962673.4746","49439320643.8649","56325455002.0093","68754610654.4012","85561283210.1864","107683724421.64","124966743631.321","128953968329.478","134976922759.291","143162097316.44","153315808792.932","166406882655.461","177524262453.39","184829836449.931","187260629534.954",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8944702701.9762","6507686403.67068","6176798074.52831","6930841239.02658","7665840864.66301","8866547010.40926","9849995925.55957","8932779829.90764","10039320661.3161","11473531924.5696","12438082812.0008","13659489144.8884","14506563584.7533","15546981649.847","16723600847.1546","17896875997.9187","19854888657.3388","21650332052.1796","24251553045.4572","25831850887.2635","28100794190.7596","29655360961.0256","30530341176.1007","30642947599.1553","32720031842.8986","33141762762.8416","34307675935.9899",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1517969214960.32","1573450066045.83","1689374388430.88","1782832178875.16","1874941977497.3","1965972325152.17","2092824330076.18","2218198944028.65","2366975554047.3","2458555781577.49","2643671292830.01","2752429977163","2810488299824.2","2993238554771.63","3357960588627.61","3660554727363.05","4006167410814.44","4300184429421.56","4642563556604.21","4720729894057.21","5009433690492.74","5265090760077.95","5633264548356.52","5926441901932.67","6206133047125.36","6485013144553.38","6794380415965.38",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133534660648.141","139166115021.284","147099620593.212","152498852540.603","166484584256.558","181323439829.514","195339398023.571","214955539123.416","217922827151.489","227679120427.711","258131611337.982","267707957711.061","278432172519.035","308976417998.12","347843204703.409","376467223150.132","426205376546.64","451481375173.277","475030915085.224","453543824065.063","466591250338.156","506507365109.089","542169341846.561","582823479226.324","612746158484.603","643052480380.889","671292424230.745",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228799009367.14","266367660566.608","304971050545.622","330670113260.973","357416483365.292","354489689716.293","380910288162.906","418854176199.749","439701467329.774","431316608578.626","437650782125.831","427889367078.785","387126040868.739","429738214437.589","481425332916.43","540901160462.916","602383491807.77","674119601920.088","715230331983.68","678009476231.364","755779970405.514","817697534663.575","824212325824.212","857668563139.116","851088115674.234","883018171548.87","874071002223.365",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8558329069.48914","7808540588.05111","4648166188.76064","4339987550.94416","4671695182.04291","5098201644.39483","5495760948.48084","5775463510.94975","6264326459.08342","6570077114.82543","7116035771.5134","7973754958.47128","9163746288.85167","10658796162.3949","12098309164.4864","14219082018.8533","16590220303.9001","19373470462.0354","21116494555.207","18266187204.2737","18896045357.2528","20192628679.6198","22045237581.6534","23140511632.7678","24402781263.9942","25405295877.1154","25790892933.4401",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","706127397.815585","745514080.400452","771340786.641458","831389355.857094","905768825.904004","884349727.401204","959969995.06621","1029820044.13977","1090249027.38525","1147977268.85096","1245539401.07535","1207728798.72314","1239607309.40022","1341582901.93279","1458581680.93143","1600169472.64071","1860527126.16796","2087477550.20043","2129440524.95769","1887375895.0174","1775900315.07214","1780605552.8058","1882994101.3752","1909576026.63122","2033231599.30299","2139921785.25159","2262932564.73715",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296485092154.791","308174360442.733","318978600841.023","338921945697.045","359127658233.394","379606017690.719","404222060410.666","426275105278.659","453669650623.09","478815682948.456","505756626102.566","532519466727.81","564334937036.566","591364579667.677","630897798564.962","664703433413.332","711112915379.345","762207024747.336","796991764436.238","873791864509.803","863447099135.094","933417248380.598","968590657191.184","1055739207301.78","1089656032638.83","1105631554152.5","1128908014063.73",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148906017560.442","159157672741.908","166193754825.491","171044304802.208","178880443752.945","187483492546.24","194801885420.187","201994613038.763","211999971852.882","220172106253.234","234747592196.813","239060596153.449","251504117039.732","259781748865.56","274981861821.925","286878400887.136","309706167438.768","324775593540.075","341669229796.916","339610037771.583","350482909902.419","371229170024.562","389747114231.215","404650506033.891","415257121456.238","426645428288.465","438048729719.461",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39391924924.6846","40418168682.0032","31996789308.4074","25190961047.1709","20658827705.9402","18601118782.8909","19186921180.7761","20647193888.5411","22958395782.3192","25034653525.1852","28446401577.8736","31975038896.4589","35907280254.4702","40725100374.2","46113109804.6625","60162435044.7109","83404506136.5201","107072181205.494","120933045859.918","133318471842.669","141497529647.474","144514131462.76","150414031877.609","161703059598.88","167890075290.44","171563099627.854","168431012757.63",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3806386335.99296","4129612098.19916","4266408487.578","4095359449.3554","4022323848.66314","3781004169.5258","3542026147.14977","3545365949.82059","3754074760.34593","3773027793.83032","3825818400.26165","3993448844.89887","4235048651.30674","4266639000.63353","4595865283.15994","4786437294.98027","5199140913.05533","5592951683.66964","5990540954.70769","6245390585.02127","6561000838.55437","6977151645.62124","7391277397.29406","7855690248.84843","8369037350.10191","8128761230.8048","8187305239.41461",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186966153825.969","196730644466.993","204295185689.557","207144013449.439","218379088813.907","228250189025.62","232507959614.579","243442315647.947","250372104048.193","262228511791.511","286696081413.862","298566747508.742","314971945494.103","322227111873.187","336193934100.762","349276958200.828","373467570166.222","391644104711.709","408408886428.126","410781481320.084","437233615760.007","455704997289.374","471332636774.649","485918532907.615","502107162096.138","514198371097.892","526364347985.673",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4706554345.96153","5068722233.68237","5337601927.05743","5783520743.93818","6025938758.34472","6523498026.22222","6929832339.05287","7452642550.72559","7831926569.19514","8376520572.0259","9069163095.3746","9770280733.79246","10381010530.1817","10952669661.9743","11752340790.9703","12338111332.6274","13219119497.2434","14383350251.0893","15383136311.8055","15859440470.1681","16392960557.8805","17227124154.8024","18388394739.0262","20029425217.0217","21684195160.0534","22376552698.4987","23573429668.0609",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4676769222.7555","5270737301.17351","5403431596.85793","5723476948.47415","5922146001.88557","6391255507.32571","7224763254.47595","7812602593.66593","8474508419.51829","9241265723.01303","9623593673.90548","10493856526.2408","11118760745.5611","12225308843.7089","13124032992.9924","14719680120.8436","16120631407.2158","17485539511.1023","19129040395.4521","19845220898.7325","21784264434.599","23684080409.0061","25676761315.3962","26825829038.0568","28449124214.1938","29904854081.7008","32074131886.0992",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88395044692.3496","94520597789.6556","101936972087.392","109279414286.934","115946602029.696","124426667319.526","132428597254.634","140742788887.851","149635575668.415","159020639186.08","171248156731.994","184043639225.26","194031856405.822","207280610211.284","224139419248.384","246472416034.399","270994233918.351","297843872857.018","321949477684.351","340760579977.767","364140854585.653","395684471605.039","429252817813.651","462415702168.173","499223805274.528","537659320618.299","583479693959.297",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45228331626.8027","42786930296.0232","40579717254.8666","40930256406.4566","42561259101.934","44691671604.3643","47039372861.165","47251378165.7006","49599901573.7974","47223164449.5391","52048554046.3749","55697253858.0976","60865435768.0337","65151655914.8783","70820052617.123","78696319688.2042","86483331036.5608","97319421413.4082","107860643107.878","105212250598.149","110660235890.697","115192780822.772","118415564499.873","120940309758.205","125740359477.767","130989950882.259","136847561697.343",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11391127385.3307","13092085136.975","14286351799.761","16508662291.502","16817838339.0277","17843328753.6736","18915818070.2558","19834642628.1884","21010290053.3387","22249082948.5298","23961398410.4482","25117943859.7202","26425271188.3135","28575793696.9852","31411262466.0747","34616586407.5643","37988091667.6941","42233059590.226","45750754989.6176","47268991574.605","49920165018.7889","52020628204.6714","54880408246.5511","58743355993.3726","62455877869.7806","64935176088.6873","",
